,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
427,1.39,0.01,1.38,0.05
428,1.4,0.01,1.39,0.05
429,1.39,0.01,1.38,0.05
430,1.39,0.01,1.38,0.05
431,1.4,0.01,1.39,0.05
432,1.4,0.01,1.39,0.05
433,1.39,0.0,1.39,0.0
434,1.41,0.0,1.41,0.0
435,1.41,0.02,1.39,0.09
436,1.42,0.01,1.41,0.05
437,1.42,0.01,1.41,0.05
438,1.41,0.0,1.41,0.0
439,1.43,0.01,1.42,0.05
440,1.43,0.02,1.41,0.09
441,1.44,0.01,1.43,0.05
442,1.44,0.01,1.43,0.05
443,1.44,0.01,1.43,0.05
444,1.44,0.01,1.43,0.05
445,1.45,0.0,1.45,0.0
446,1.45,0.01,1.44,0.05
447,1.45,0.01,1.44,0.05
448,1.43,0.01,1.42,0.05
449,1.44,0.01,1.43,0.05
450,1.46,0.0,1.46,0.0
451,1.47,0.01,1.46,0.05
452,1.47,0.02,1.45,0.09
453,1.46,0.01,1.45,0.05
454,1.47,0.02,1.45,0.09
455,1.47,0.0,1.47,0.0
456,1.48,0.0,1.48,0.0
457,1.49,0.07,1.42,0.32
458,1.48,0.0,1.48,0.0
459,1.49,0.01,1.48,0.05
460,1.5,0.0,1.5,0.0
461,1.5,0.01,1.49,0.05
462,1.51,0.01,1.5,0.05
463,1.5,0.01,1.49,0.05
464,1.47,0.01,1.46,0.05
465,1.52,0.0,1.52,0.0
466,1.51,0.02,1.49,0.09
467,1.51,0.01,1.5,0.05
468,1.52,0.01,1.51,0.05
469,1.51,0.0,1.51,0.0
470,1.53,0.0,1.53,0.0
471,1.53,0.0,1.53,0.0
472,1.53,0.0,1.53,0.0
473,1.53,0.01,1.52,0.05
474,1.55,0.01,1.54,0.05
475,1.54,0.03,1.51,0.14
476,1.55,0.0,1.55,0.0
477,1.55,0.01,1.54,0.05
478,1.55,0.0,1.55,0.0
479,1.55,0.0,1.55,0.0
480,1.56,0.02,1.54,0.09
481,1.56,0.01,1.55,0.05
482,1.57,0.02,1.55,0.09
483,1.55,0.01,1.54,0.05
484,1.57,0.01,1.56,0.05
485,1.57,0.01,1.56,0.05
